[2024-03-11 01:11:27] Init
[2024-03-11 01:11:28] 200 | Best Sellers
[2024-03-11 01:11:28] Collecting Headers
[2024-03-11 01:11:28] Adding departments references
[2024-03-11 01:11:28] ===== Los más vendidos en Amazon Renewed : Productos Reacondicionados ====
[2024-03-11 01:11:29] 200 | Los más vendidos en Amazon Renewed : Productos Reacondicionados
[2024-03-11 01:11:29] Setting new soup | Los más vendidos en Amazon Renewed : Productos Reacondicionados
[2024-03-11 01:11:29] Adding pages references | Los más vendidos en Amazon Renewed : Productos Reacondicionados
[2024-03-11 01:11:29] Get {'id': None, 'name': 'Apple iPhone 13, 128GB, Medianoche (Reacondicionado)', 'price': 7700.51, 'department': 'Los más vendidos en Amazon Renewed : Productos Reacondicionados', 'in_stock': True} | Los más vendidos en Amazon Renewed : Productos Reacondicionados
[2024-03-11 01:11:29] Saved {'id': 451, 'name': 'Apple iPhone 13, 128GB, Medianoche (Reacondicionado)', 'price': 7700.51, 'department': 'Los más vendidos en Amazon Renewed : Productos Reacondicionados', 'in_stock': True} | Los más vendidos en Amazon Renewed : Productos Reacondicionados
[2024-03-11 01:11:29] Get {'id': None, 'name': 'Apple iPhone 12, 64GB, Negro (Reacondicionado)', 'price': 5231.45, 'department': 'Los más vendidos en Amazon Renewed : Productos Reacondicionados', 'in_stock': True} | Los más vendidos en Amazon Renewed : Productos Reacondicionados
[2024-03-11 01:11:29] Saved {'id': 452, 'name': 'Apple iPhone 12, 64GB, Negro (Reacondicionado)', 'price': 5231.45, 'department': 'Los más vendidos en Amazon Renewed : Productos Reacondicionados', 'in_stock': True} | Los más vendidos en Amazon Renewed : Productos Reacondicionados
[2024-03-11 01:11:29] Get {'id': None, 'name': 'Vornado 173 Ventilador de Torre 37” Tecnología de Circulación V-Flow Diseño Compacto Abanico Silencioso con 3 Velocidades Temporizador de 8Hrs y Control Remoto(Reacondicionado)', 'price': 1019.0, 'department': 'Los más vendidos en Amazon Renewed : Productos Reacondicionados', 'in_stock': True} | Los más vendidos en Amazon Renewed : Productos Reacondicionados
[2024-03-11 01:11:29] Saved {'id': 453, 'name': 'Vornado 173 Ventilador de Torre 37” Tecnología de Circulación V-Flow Diseño Compacto Abanico Silencioso con 3 Velocidades Temporizador de 8Hrs y Control Remoto(Reacondicionado)', 'price': 1019.0, 'department': 'Los más vendidos en Amazon Renewed : Productos Reacondicionados', 'in_stock': True} | Los más vendidos en Amazon Renewed : Productos Reacondicionados
[2024-03-11 01:11:29] Get {'id': None, 'name': 'Apple iPhone 11, Totalmente Desbloqueado, 64GB, Negro (Reacondicionado)', 'price': 4344.13, 'department': 'Los más vendidos en Amazon Renewed : Productos Reacondicionados', 'in_stock': True} | Los más vendidos en Amazon Renewed : Productos Reacondicionados
[2024-03-11 01:11:29] Saved {'id': 454, 'name': 'Apple iPhone 11, Totalmente Desbloqueado, 64GB, Negro (Reacondicionado)', 'price': 4344.13, 'department': 'Los más vendidos en Amazon Renewed : Productos Reacondicionados', 'in_stock': True} | Los más vendidos en Amazon Renewed : Productos Reacondicionados
[2024-03-11 01:11:29] Get {'id': None, 'name': 'JBL Tune 660NC Auriculares in-ear inalámbricos con cancelación activa de ruido, negro (Reacondicionado)', 'price': 1199.0, 'department': 'Los más vendidos en Amazon Renewed : Productos Reacondicionados', 'in_stock': True} | Los más vendidos en Amazon Renewed : Productos Reacondicionados
[2024-03-11 01:11:29] Saved {'id': 455, 'name': 'JBL Tune 660NC Auriculares in-ear inalámbricos con cancelación activa de ruido, negro (Reacondicionado)', 'price': 1199.0, 'department': 'Los más vendidos en Amazon Renewed : Productos Reacondicionados', 'in_stock': True} | Los más vendidos en Amazon Renewed : Productos Reacondicionados
[2024-03-11 01:11:29] Get {'id': None, 'name': 'Apple iPhone 12 Mini, 64GB, Azul (Reacondicionado)', 'price': 4441.0, 'department': 'Los más vendidos en Amazon Renewed : Productos Reacondicionados', 'in_stock': True} | Los más vendidos en Amazon Renewed : Productos Reacondicionados
[2024-03-11 01:11:29] Saved {'id': 456, 'name': 'Apple iPhone 12 Mini, 64GB, Azul (Reacondicionado)', 'price': 4441.0, 'department': 'Los más vendidos en Amazon Renewed : Productos Reacondicionados', 'in_stock': True} | Los más vendidos en Amazon Renewed : Productos Reacondicionados
[2024-03-11 01:11:29] Get {'id': None, 'name': 'SAMSUNG Galaxy Z Flip 4 SM-F721U1 - (128 GB, color morado bora) (Reacondicionado)', 'price': 4777.16, 'department': 'Los más vendidos en Amazon Renewed : Productos Reacondicionados', 'in_stock': True} | Los más vendidos en Amazon Renewed : Productos Reacondicionados
[2024-03-11 01:11:29] Saved {'id': 457, 'name': 'SAMSUNG Galaxy Z Flip 4 SM-F721U1 - (128 GB, color morado bora) (Reacondicionado)', 'price': 4777.16, 'department': 'Los más vendidos en Amazon Renewed : Productos Reacondicionados', 'in_stock': True} | Los más vendidos en Amazon Renewed : Productos Reacondicionados
